name;seq;start;end;diff
TIGR00276;2;1479497945917;1479497946324;407
TIGR00277;3;1479497946326;1479497946819;493
TIGR00278;2;1479497946821;1479497947056;235
TIGR00279;2;1479497947058;1479497947295;237
TIGR00282;2;1479497947299;1479497947675;376
TIGR00287;2;1479497947679;1479497948174;495
TIGR00299;2;1479497948176;1479497948562;386
TIGR00306;2;1479497948564;1479497949025;461
TIGR00309;2;1479497949030;1479497949348;318
TIGR00313;2;1479497949350;1479497949809;459
TIGR00316;2;1479497949812;1479497950174;362
TIGR00317;2;1479497950178;1479497950552;374
TIGR00320;2;1479497950554;1479497950883;329
TIGR00326;2;1479497950885;1479497951262;377
TIGR00329;3;1479497951265;1479497951758;493
TIGR00331;2;1479497951762;1479497952138;376
TIGR00332;2;1479497952142;1479497952495;353
TIGR00336;2;1479497952497;1479497952884;387
TIGR00337;2;1479497952886;1479497953287;401
TIGR00338;4;1479497953291;1479497954098;807
TIGR00342;3;1479497954102;1479497954984;882
TIGR00343;2;1479497954986;1479497955292;306
TIGR00344;3;1479497955294;1479497955814;520
TIGR00345;2;1479497955818;1479497956313;495
TIGR00346;3;1479497956315;1479497956784;469
TIGR00348;3;1479497956788;1479497958054;1266
TIGR00350;2;1479497958058;1479497958446;388
TIGR00355;2;1479497958450;1479497958865;415
TIGR00358;3;1479497958869;1479497959417;548
TIGR00359;2;1479497959421;1479497959835;414
TIGR00361;3;1479497959839;1479497960799;960
TIGR00362;2;1479497960803;1479497961283;480
TIGR00363;3;1479497961287;1479497961902;615
TIGR00366;3;1479497961906;1479497962411;505
TIGR00368;2;1479497962413;1479497962825;412
TIGR00369;3;1479497962829;1479497963290;461
TIGR00374;2;1479497963293;1479497963706;413
TIGR00376;2;1479497963708;1479497964284;576
TIGR00377;3;1479497964288;1479497964724;436
TIGR00379;2;1479497964726;1479497965191;465
TIGR00380;2;1479497965193;1479497965656;463
TIGR00382;2;1479497965658;1479497966117;459
TIGR00383;3;1479497966121;1479497966617;496
TIGR00384;2;1479497966622;1479497966974;352
TIGR00385;2;1479497966978;1479497967357;379
TIGR00389;2;1479497967361;1479497967856;495
TIGR00390;2;1479497967861;1479497968237;376
