name;seq;start;end;diff
TIGR00299;2;1479499329794;1479499329909;115;
TIGR00306;2;1479499329913;1479499330035;122;
TIGR00309;2;1479499330038;1479499330101;63;
TIGR00313;2;1479499330105;1479499330234;129;
TIGR00316;2;1479499330237;1479499330352;115;
TIGR00317;2;1479499330355;1479499330471;116;
TIGR00320;2;1479499330475;1479499330553;78;
TIGR00326;2;1479499330556;1479499330668;112;
TIGR00329;3;1479499330672;1479499339036;8364;<
TIGR00331;2;1479499339040;1479499339154;114;
TIGR00332;2;1479499339158;1479499339223;65;
TIGR00336;2;1479499339226;1479499339330;104;
TIGR00337;2;1479499339334;1479499339459;125;
TIGR00338;4;1479499339463;1479499404608;65145;<
<
TIGR00342;3;1479499404611;1479499424620;20009;<
TIGR00343;2;1479499424624;1479499424675;51;
TIGR00344;3;1479499424679;1479499442890;18211;<
TIGR00345;2;1479499442894;1479499443041;147;
TIGR00346;3;1479499443045;1479499461365;18320;<
TIGR00348;3;1479499461369;1479499482542;21173;<
TIGR00350;2;1479499482546;1479499482664;118;
TIGR00355;2;1479499482668;1479499482800;132;
TIGR00358;3;1479499482803;1479499494196;11393;<
TIGR00359;2;1479499494199;1479499494342;143;
TIGR00361;3;1479499494346;1479499529273;34927;<
TIGR00362;2;1479499529277;1479499529413;136;
TIGR00363;3;1479499529416;1479499538630;9214;<
TIGR00366;3;1479499538633;1479499547158;8525;<
TIGR00368;2;1479499547162;1479499547296;134;
TIGR00369;3;1479499547299;1479499555061;7762;<
TIGR00374;2;1479499555065;1479499555154;89;
TIGR00376;2;1479499555158;1479499555338;180;
TIGR00377;3;1479499555341;1479499566459;11118;<
TIGR00379;2;1479499566463;1479499566603;140;
TIGR00380;2;1479499566607;1479499566722;115;
TIGR00382;2;1479499566726;1479499566845;119;
TIGR00383;3;1479499566849;1479499585945;19096;<
TIGR00384;2;1479499585949;1479499586057;108;
TIGR00385;2;1479499586060;1479499586172;112;
TIGR00389;2;1479499586175;1479499586306;131;
TIGR00390;2;1479499586310;1479499586403;93;
TIGR00392;2;1479499586407;1479499586568;161;
TIGR00394;2;1479499586572;1479499586711;139;
TIGR00395;2;1479499586715;1479499586842;127;
TIGR00396;3;1479499586846;1479499598158;11312;<
TIGR00398;4;1479499598162;1479499669527;71365;<
<
TIGR00399;2;1479499669530;1479499669594;64;
TIGR00400;2;1479499669598;1479499669731;133;
TIGR00401;3;1479499669735;1479499684337;14602;<
TIGR00402;4;1479499684341;1479499704461;20120;<
<
TIGR00406;2;1479499704465;1479499704586;121;
TIGR00407;2;1479499704589;1479499704704;115;
TIGR00408;2;1479499704708;1479499704812;104;
TIGR00409;3;1479499704816;1479499725577;20761;<
TIGR00410;2;1479499725581;1479499725725;144;
